Front,Back,Tags
"What does HTTP stand for?","HyperText Transfer Protocol — the stateless application-layer protocol used for web communication","http,networking"
"What is the difference between HTTP and HTTPS?","HTTPS = HTTP + TLS. TLS encrypts the connection, verifies server identity via certificates, and prevents tampering.","http,security"
"What are the 5 HTTP request methods and their purpose?","GET (read), POST (create), PUT (replace), PATCH (partial update), DELETE (remove)","http,rest"
"What HTTP status code means 'resource created successfully'?","201 Created","http,status-codes"
"What HTTP status code means 'valid auth but no permission'?","403 Forbidden (vs 401 = not authenticated at all)","http,status-codes"
"What is idempotency in HTTP?","A request is idempotent if making it multiple times has the same effect as making it once. GET, PUT, DELETE are idempotent. POST is not.","http,concepts"
"What is a JWT?","JSON Web Token — a compact, self-contained token with header.payload.signature. The payload carries claims (userId, role, exp). Signed with a secret key.","auth,security"
"What does 'stateless' mean in REST?","Each HTTP request must contain all info needed to process it. The server stores no session state between requests.","rest,concepts"
"What is DNS?","Domain Name System — the internet's phonebook. Translates human-readable domain names (example.com) to IP addresses (203.0.113.5).","networking,dns"
"Explain the TCP 3-way handshake.","1) Client sends SYN, 2) Server replies SYN-ACK, 3) Client sends ACK. This establishes a reliable connection before data transfer.","networking,tcp"
"What is the difference between TCP and UDP?","TCP: reliable, ordered, connection-oriented (3-way handshake). UDP: fast, connectionless, no delivery guarantee. Use TCP for APIs, UDP for video streaming.","networking,protocols"
"What are HTTP headers used for?","Pass metadata with requests/responses: auth tokens, content type, caching directives, CORS, cookies.","http,concepts"
"What does CORS stand for and why does it exist?","Cross-Origin Resource Sharing. Browsers block JS from reading responses from a different domain by default. CORS headers allow controlled exceptions.","http,security"
"What is the OSI model?","7-layer conceptual model: Physical, Data Link, Network, Transport, Session, Presentation, Application. Each layer abstracts the one below it.","networking,osi"
"What layer does HTTP operate on?","Layer 7 — Application layer","networking,osi"
"What is the difference between a web server and an app server?","Web server serves static files and proxies requests (Nginx, Apache). App server runs application code and handles business logic (Node.js, Gunicorn).","architecture"
"What is a CDN?","Content Delivery Network — geographically distributed servers that cache static assets close to users, reducing latency.","networking,architecture"
"What is a load balancer?","A device or service that distributes incoming traffic across multiple server instances to prevent overload and enable scaling.","architecture,devops"
"What is the URL anatomy of https://api.example.com:443/users?page=2#top ?","scheme=https, host=api.example.com, port=443, path=/users, query=page=2, fragment=top","http,concepts"
"What does a 404 status code mean?","Not Found — the requested resource does not exist on the server.","http,status-codes"
"What is git commit?","Saves a snapshot of the staged changes to the local repository history with a unique SHA hash.","git"
"What is the difference between git fetch and git pull?","fetch downloads remote changes without applying them. pull = fetch + merge (applies them to current branch).","git"
"What is a git merge conflict?","Occurs when two branches modify the same line differently. Git marks the conflict with <<<< ==== >>>> markers and requires manual resolution.","git"
"What is git rebase?","Rewrites commit history by replaying commits from one branch on top of another. Creates a linear history (vs merge which preserves the fork).","git"
"What is a .gitignore file?","A file specifying patterns for files/directories Git should not track (node_modules, .env, build output).","git"
"What is Docker?","Platform for packaging applications and dependencies into containers — lightweight, portable, isolated runtime environments.","docker,devops"
"What is the difference between a Docker image and a container?","Image = read-only blueprint (like a class). Container = running instance of an image (like an object).","docker"
"What is docker-compose used for?","Define and run multi-container applications from a YAML file. Manages networking, volumes, and service dependencies.","docker,devops"
"What is MongoDB?","A NoSQL document database that stores data as BSON (binary JSON) documents in collections, instead of rows in tables.","mongodb,databases"
"What is Mongoose?","An ODM (Object Document Mapper) library for Node.js that provides schema validation, middleware, and query helpers for MongoDB.","mongodb,nodejs"
"What is React?","A JavaScript library for building component-based user interfaces. State changes trigger efficient DOM re-renders via a virtual DOM.","react,frontend"
"What is a React hook?","Functions prefixed with 'use' that let functional components use state and lifecycle features. e.g. useState, useEffect, useContext.","react,frontend"
"What does useEffect do?","Runs side effects after render. The dependency array controls when it re-runs: [] = once, [x] = when x changes, omitted = every render.","react,frontend"
"What is TanStack Query?","A data-fetching library for React that manages server state: caching, background refresh, loading/error states, and mutation tracking.","react,frontend"
"What is the difference between client state and server state?","Client state: UI state (open menus, form input) — managed locally. Server state: data from APIs — managed by TanStack Query/SWR.","react,concepts"
"What is Tailwind CSS?","A utility-first CSS framework. Instead of writing CSS classes, you compose small utility classes (flex, p-4, text-xl) directly in HTML/JSX.","css,frontend"
"What is REST?","Representational State Transfer — an architectural style for APIs using HTTP verbs, resource-based URLs, and stateless communication.","rest,concepts"
"What is a CRUD operation?","Create, Read, Update, Delete — the four basic operations for persistent data. Map to POST, GET, PUT/PATCH, DELETE in REST.","rest,databases"
"What is bcrypt?","A password hashing algorithm that applies a cost factor to deliberately slow down hashing, making brute-force attacks impractical.","security,auth"
"What is the principle of SOLID?","5 OOP design principles: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.","design-patterns"
"What is TDD?","Test-Driven Development — write a failing test first, write minimal code to pass it, then refactor. Red-Green-Refactor cycle.","testing,tdd"
"What does npm run dev do in the webapp?","Starts the Vite development server with Hot Module Replacement (HMR), allowing instant updates in the browser on file save.","tooling,vite"
"What is an environment variable?","A key-value pair set in the OS environment, used to configure applications without hardcoding secrets. Read via process.env.VAR.","devops,security"
"What is HTTPS and why is it mandatory?","HTTP + TLS encryption. Mandatory because: protects data in transit, verifies server identity, required by browsers for PWAs and some APIs.","security,http"
